Domain Code,Domain,Area Code,Area,Indicator Code,Indicator,Sex Code,Sex,Year Code,Year,Element Code,Element,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"OEA","Employment Indicators: Agriculture and agrifood systems","5100","Africa","21161","Share of AFS employment in total employment","1","Total","2000","2000","6121","Value","3044","FAO Model","%","69.59","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5207","South America","21161","Share of AFS employment in total employment","1","Total","2000","2000","6121","Value","3044","FAO Model","%","33.55","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5300","Asia","21161","Share of AFS employment in total employment","1","Total","2000","2000","6121","Value","3044","FAO Model","%","60.91","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5300","Asia","21161","Share of AFS employment in total employment","1","Total","2001","2001","6121","Value","3044","FAO Model","%","59.79","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5207","South America","21161","Share of AFS employment in total employment","1","Total","2001","2001","6121","Value","3044","FAO Model","%","33.92","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5100","Africa","21161","Share of AFS employment in total employment","1","Total","2001","2001","6121","Value","3044","FAO Model","%","69.56","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5100","Africa","21161","Share of AFS employment in total employment","1","Total","2002","2002","6121","Value","3044","FAO Model","%","69.39","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5207","South America","21161","Share of AFS employment in total employment","1","Total","2002","2002","6121","Value","3044","FAO Model","%","33.03","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5300","Asia","21161","Share of AFS employment in total employment","1","Total","2002","2002","6121","Value","3044","FAO Model","%","59.27","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5300","Asia","21161","Share of AFS employment in total employment","1","Total","2003","2003","6121","Value","3044","FAO Model","%","58.41","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5207","South America","21161","Share of AFS employment in total employment","1","Total","2003","2003","6121","Value","3044","FAO Model","%","32.99","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5100","Africa","21161","Share of AFS employment in total employment","1","Total","2003","2003","6121","Value","3044","FAO Model","%","69.44","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5100","Africa","21161","Share of AFS employment in total employment","1","Total","2004","2004","6121","Value","3044","FAO Model","%","69.37","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5207","South America","21161","Share of AFS employment in total employment","1","Total","2004","2004","6121","Value","3044","FAO Model","%","33.15","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5300","Asia","21161","Share of AFS employment in total employment","1","Total","2004","2004","6121","Value","3044","FAO Model","%","56.67","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5300","Asia","21161","Share of AFS employment in total employment","1","Total","2005","2005","6121","Value","3044","FAO Model","%","55.11","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5207","South America","21161","Share of AFS employment in total employment","1","Total","2005","2005","6121","Value","3044","FAO Model","%","34.08","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5100","Africa","21161","Share of AFS employment in total employment","1","Total","2005","2005","6121","Value","3044","FAO Model","%","69.95","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5100","Africa","21161","Share of AFS employment in total employment","1","Total","2006","2006","6121","Value","3044","FAO Model","%","68.8","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5207","South America","21161","Share of AFS employment in total employment","1","Total","2006","2006","6121","Value","3044","FAO Model","%","32.97","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5300","Asia","21161","Share of AFS employment in total employment","1","Total","2006","2006","6121","Value","3044","FAO Model","%","54.04","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5300","Asia","21161","Share of AFS employment in total employment","1","Total","2007","2007","6121","Value","3044","FAO Model","%","53.08","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5207","South America","21161","Share of AFS employment in total employment","1","Total","2007","2007","6121","Value","3044","FAO Model","%","31.59","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5100","Africa","21161","Share of AFS employment in total employment","1","Total","2007","2007","6121","Value","3044","FAO Model","%","68.2","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5100","Africa","21161","Share of AFS employment in total employment","1","Total","2008","2008","6121","Value","3044","FAO Model","%","67.76","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5207","South America","21161","Share of AFS employment in total employment","1","Total","2008","2008","6121","Value","3044","FAO Model","%","30.8","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5300","Asia","21161","Share of AFS employment in total employment","1","Total","2008","2008","6121","Value","3044","FAO Model","%","52.5","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5300","Asia","21161","Share of AFS employment in total employment","1","Total","2009","2009","6121","Value","3044","FAO Model","%","51.78","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5207","South America","21161","Share of AFS employment in total employment","1","Total","2009","2009","6121","Value","3044","FAO Model","%","30.53","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5100","Africa","21161","Share of AFS employment in total employment","1","Total","2009","2009","6121","Value","3044","FAO Model","%","67.3","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5100","Africa","21161","Share of AFS employment in total employment","1","Total","2010","2010","6121","Value","3044","FAO Model","%","66.34","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5207","South America","21161","Share of AFS employment in total employment","1","Total","2010","2010","6121","Value","3044","FAO Model","%","30.11","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5300","Asia","21161","Share of AFS employment in total employment","1","Total","2010","2010","6121","Value","3044","FAO Model","%","51","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5300","Asia","21161","Share of AFS employment in total employment","1","Total","2011","2011","6121","Value","3044","FAO Model","%","49.62","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5207","South America","21161","Share of AFS employment in total employment","1","Total","2011","2011","6121","Value","3044","FAO Model","%","29.51","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5100","Africa","21161","Share of AFS employment in total employment","1","Total","2011","2011","6121","Value","3044","FAO Model","%","65.95","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5100","Africa","21161","Share of AFS employment in total employment","1","Total","2012","2012","6121","Value","3044","FAO Model","%","65.94","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5207","South America","21161","Share of AFS employment in total employment","1","Total","2012","2012","6121","Value","3044","FAO Model","%","27.85","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5300","Asia","21161","Share of AFS employment in total employment","1","Total","2012","2012","6121","Value","3044","FAO Model","%","48.46","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5300","Asia","21161","Share of AFS employment in total employment","1","Total","2013","2013","6121","Value","3044","FAO Model","%","47.21","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5207","South America","21161","Share of AFS employment in total employment","1","Total","2013","2013","6121","Value","3044","FAO Model","%","27.73","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5100","Africa","21161","Share of AFS employment in total employment","1","Total","2013","2013","6121","Value","3044","FAO Model","%","65.55","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5100","Africa","21161","Share of AFS employment in total employment","1","Total","2014","2014","6121","Value","3044","FAO Model","%","64.97","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5207","South America","21161","Share of AFS employment in total employment","1","Total","2014","2014","6121","Value","3044","FAO Model","%","27.19","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5300","Asia","21161","Share of AFS employment in total employment","1","Total","2014","2014","6121","Value","3044","FAO Model","%","45.86","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5300","Asia","21161","Share of AFS employment in total employment","1","Total","2015","2015","6121","Value","3044","FAO Model","%","44.78","E","Estimated value",""
